school,session_kids,missing,likely_missing,missing_pct
Malabar Primary School,221,63,14,28.5
Emsengeni Primary School,161,53,30,32.9
Stephen Nkomo Senior Primary School,125,52,47,41.6
Kayser Ngxwana Primary School,73,47,14,64.4
Samuel Nongogo Primary School,74,47,33,63.5
Walmer Primary School,172,43,9,25.0
Masakhane Public School,82,42,30,51.2
DR A W Habelgaarn Primary School,83,42,32,50.6
KwaNoxolo Primary School,145,40,10,27.6
Charles Duna Public School,76,40,7,52.6
Sapphire Road Primary School,145,36,15,24.8
Mjuleni Junior Primary School,59,35,12,59.3
J K Zondi Primary School,95,34,23,35.8
Zanoxolo Public School ,102,32,21,31.4
Cedarberg Primary School,148,32,24,21.6
Uitenhage Primary School,122,30,3,24.6
Gelvandale Primary School,36,30,30,83.3
Astra Primary School,161,27,3,16.8
Jubilee Park Primary School,171,27,13,15.8
Cebelihle Primary School,182,26,1,14.3
Bethvale Primary School,203,26,20,12.8
Seyisi Primary School,86,26,5,30.2
Sikhothina Primary School,37,26,8,70.3
Mnqophiso Primary School,50,24,10,48.0
Strelitzia Primary School,162,22,14,13.6
K K Ncwana Primary School,89,22,21,24.7
Isaac Booi Senior Primary School,79,22,4,27.8
De Vos Malan Primary School,53,21,20,39.6
Green Apple ECD,118,20,8,16.9
Joe Slovo Primary School,111,18,15,16.2
James Ndulula Primary School,113,18,2,15.9
Kroneberg Primary School,218,17,7,7.8
Bavumeleni ECD,73,17,8,23.3
Phakamile Primary School,92,17,6,18.5
Siyaphambili Public School,83,17,9,20.5
Greenville Primary School,49,17,13,34.7
Ashton Gontshi Primary School,42,16,15,38.1
Phindubuye Primary School,114,15,11,13.2
W B Tshume Primary School,125,15,8,12.0
Amanzi Primary School,22,15,11,68.2
St Joseph's (RC) Primary School,35,14,5,40.0
Ilitha Lethu Day Care,30,13,2,43.3
Enkululekweni Primary School,97,12,2,12.4
Fumisukoma Primary School,84,12,2,14.3
Swartkops Primary School,158,11,4,7.0
Enqileni Intermediate School,86,11,7,12.8
Dumani Primary School,118,11,0,9.3
Phakama Public School,38,11,6,28.9
Nkuthalo Public Primary School,19,11,3,57.9
Thembalethu Day Care,33,11,5,33.3
Lovemore Park Primary School,20,10,4,50.0
Vukanibantu Primary School,99,10,7,10.1
Canzibe Primary School,102,10,7,9.8
Ilinge Primary School,72,10,9,13.9
Bethelsdorp Road Primary School,85,10,8,11.8
Livuse ECD,32,10,8,31.2
Emmanuel Day Care,30,10,2,33.3
Mzamomhle Edu-care,40,10,1,25.0
Magqabi Primary School,80,9,7,11.2
Emzomncane Primary School,83,9,5,10.8
Siyabulela Pre-School,40,9,5,22.5
Masinyusane,16,8,8,50.0
Helenvale Primary School,122,8,4,6.6
Nokwezi Primary School,128,8,2,6.2
Khulile Primary School,61,8,8,13.1
Nomathamsanqa Primary School,68,8,5,11.8
Frank Joubert Primary School,109,7,2,6.4
Alex Jayiya Primary School,44,7,4,15.9
Molefe Senior Primary School,25,7,0,28.0
Fernwood Park Primary School,32,7,5,21.9
C W Hendrickse Primary School,137,6,5,4.4
Gertrude Shope Senior Primary School,121,6,2,5.0
Winterberg Primary School,84,6,3,7.1
Enkwenkwezini Public Primary School,57,6,4,10.5
Aaron Gqadu Primary School,62,6,0,9.7
Boet Jegels Primary School,78,6,1,7.7
Arcadia Primary School,51,6,5,11.8
Hombakazi Full Service School,105,6,4,5.7
David Vuku Primary School,97,5,3,5.2
Vezubuhle Primary School,72,5,3,6.9
Triomf Primary School,88,5,2,5.7
Mthonjeni Senior Primary School,49,5,3,10.2
Ntyatyambo Primary School,33,5,3,15.2
Koester Day Care,72,5,1,6.9
Kleinskool Community Primary School,57,5,4,8.8
Ntlemeza Primary School,25,5,5,20.0
Nqonqweni Primary School,51,5,4,9.8
Libhongolwethu ECD,28,5,1,17.9
Colleen Glen Farm School,132,4,0,3.0
Stephen Mazungula Senior Primary School,58,4,4,6.9
Abraham Levy Primary School,89,4,0,4.5
G J Louw Primary School,97,4,3,4.1
Nosipho Primary School,72,4,0,5.6
Elundini Primary School,60,4,4,6.7
Lamani Public Primary School,26,4,3,15.4
Sakha Bantwana ECD,26,3,1,11.5
Missionvale Primary School,161,3,2,1.9
Zamani Junior Primary School,69,3,0,4.3
Seagull Primary School,152,3,3,2.0
Melisizwe Public Primary School,86,3,1,3.5
BJ Mnyanda Primary School,60,3,2,5.0
Kids College ECD,12,3,1,25.0
Masakhe Primary School,123,3,3,2.4
Mdantsane Junior Primary School,107,2,2,1.9
Dietrich Primary School,130,2,1,1.5
Fanti Gaqa Senior Primary School,101,2,2,2.0
Adolph Schauder Primary School,172,2,1,1.2
Sume Center,88,2,0,2.3
Elufefeni Primary School,72,2,0,2.8
Van Der Kemp Primary School,103,2,1,1.9
Kruisrivier Primary School,62,2,1,3.2
Nkosinathi Primary School,69,2,2,2.9
Arise and Shine ECD,14,2,1,14.3
Isibane Junior Primary School,66,2,2,3.0
Spencer Mabija Combined School,31,2,0,6.5
Garrett Public Primary School,95,2,0,2.1
Esitiyeni Public Primary School,71,2,0,2.8
Daniels Public Primary School,29,2,0,6.9
Gelvan Primary School,66,2,2,3.0
Sakhile Senior Primary School,44,2,1,4.5
Njongozabantu Day Care,18,2,1,11.1
Little Flower Primary School,61,2,1,3.3
Lwandisa Junior Primary School,59,2,2,3.4
Zanokukhanya Junior Primary School,152,1,1,0.7
Equleni Junior Primary School,63,1,1,1.6
DIE Heuwel Primary School,73,1,0,1.4
Khanyisa Junior Primary School,81,1,1,1.2
West End Primary School,57,1,0,1.8
Mqhayi Senior Primary School,22,1,1,4.5
R H Godlo Junior Primary School,77,1,1,1.3
Alpha Primary School,53,1,0,1.9
Hillcrest Primary School,80,1,0,1.2
Nontsikelelo Junior Primary School,36,1,0,2.8
Vuba Junior Primary School,49,1,1,2.0
J N Tulwana Junior Primary School,30,1,1,3.3
Mdengentonga Primary School,75,1,1,1.3
Duncan Village Public School,56,1,0,1.8
St Teresa's (RC) Primary School,16,1,1,6.2
Mboniselo Public School,24,1,0,4.2
Clarkson,1,1,1,100.0
Manyano Junior Primary School,3,1,1,33.3
James Ntungwana Primary School,108,0,0,0.0
Sanctor Primary School,114,0,0,0.0
Funimfundo Primary School,36,0,0,0.0
Inkqubela Public Primary School,22,0,0,0.0
Nobhotwe Junior Primary School,28,0,0,0.0
Encotsheni Senior Primary School,141,0,0,0.0
Nkangeleko Intermediate School,91,0,0,0.0
Ebhotwe Junior Full Service School,55,0,0,0.0
Dalrose Full Service School,67,0,0,0.0
Jarvis Gqamlana Public Primary School,46,0,0,0.0
Msobomvu ECD,46,0,0,0.0
Nontuthuzelo Primary School,62,0,0,0.0
Thembeka Junior Primary School,67,0,0,0.0
Despatch Primary School,64,0,0,0.0
Mzoxolo Senior Primary School,65,0,0,0.0
Republic Primary School,89,0,0,0.0
Van Stadens Reserve School,56,0,0,0.0
Mngcunube Primary School,53,0,0,0.0
Msobomvu Full Service,12,0,0,0.0
Verite Primary School,29,0,0,0.0
Shad Mashologu Junior Primary School,44,0,0,0.0
Vuthondaba Full Service School,42,0,0,0.0
Malukhanye ECD,15,0,0,0.0
Coega Primary School,35,0,0,0.0
St John'S Road Junior Secondary School,33,0,0,0.0
Nontombi Matta Junior Primary School,44,0,0,0.0
Pendla Primary School,23,0,0,0.0
Ikhwezelihle Primary School,28,0,0,0.0
Inkqubela Junior Primary School,21,0,0,0.0
W.N. Madikizela-Mandela Primary School,40,0,0,0.0
Qhamani Pre-School,19,0,0,0.0
Dias Farm School,24,0,0,0.0
Yellowwoods Farm School,28,0,0,0.0
Lukhanyo ECD,11,0,0,0.0
Kuyga Public Junior Secondary School,17,0,0,0.0
Jityaza Combined Primary School,7,0,0,0.0
Baby Daycare,22,0,0,0.0
Chuma Junior Primary School,17,0,0,0.0
Nceduluntu Edu-care,10,0,0,0.0
Nzuzo Junior Primary School,34,0,0,0.0
Lukhanyiso Daycare,14,0,0,0.0
Isithsaba Junior Primary School,19,0,0,0.0
Vukani Daycare,5,0,0,0.0
St Mary Magdelene ECD,15,0,0,0.0
Lunga Junior Primary School,4,0,0,0.0
