School,School ID,Type,Coord East,Coord South,Google Maps Link,Google Maps
Aaron Gqadu,276,Primary,-33.866501,25.5855385,"https://www.google.com/maps?q=-33.86650101804531,25.585538502261464","https://www.google.com/maps?q=-33.86650101804531,25.585538502261464"
Abraham Levy,144,Primary,-33.932858,25.56468424,"https://www.google.com/maps?q=-33.9328575407312,25.564684239678407","https://www.google.com/maps?q=-33.9328575407312,25.564684239678407"
Adcoc Brighton kids,245,ECD,-33.902751,25.591176,"https://www.google.com/maps?q=-33.902751,25.591176","https://www.google.com/maps?q=-33.902751,25.591176"
Adolph Schauder,123,Primary,-33.93174,25.56131061,"https://www.google.com/maps?q=-33.93174022285777,25.561310610842995","https://www.google.com/maps?q=-33.93174022285777,25.561310610842995"
Alex Jayiya,109,Primary,-33.804988,25.39323752,"https://www.google.com/maps?q=-33.80498806366577,25.39323752248251","https://www.google.com/maps?q=-33.80498806366577,25.39323752248251"
Alexander,324,High School,-33.941706,25.57280346,"https://www.google.com/maps?q=-33.94170625991824,25.57280346481949","https://www.google.com/maps?q=-33.94170625991824,25.57280346481949"
Alfonso Arries,142,Primary,-33.852326,25.44845081,"https://www.google.com/maps?q=-33.85232574235959,25.448450808991165","https://www.google.com/maps?q=-33.85232574235959,25.448450808991165"
Alpha,115,Primary,-33.912363,25.54753364,"https://www.google.com/maps?q=-33.912362894149595,25.54753363967728","https://www.google.com/maps?q=-33.912362894149595,25.54753363967728"
Amanzi,165,Primary,,,,
Arcadia,146,Primary,-33.881186,25.52313216,"https://www.google.com/maps?q=-33.881186083742975,25.52313216481606","https://www.google.com/maps?q=-33.881186083742975,25.52313216481606"
Arise and Shine,256,ECD,-33.804378,25.60580724,"https://www.google.com/maps?q=-33.80437810796366,25.60580723809042","https://www.google.com/maps?q=-33.80437810796366,25.60580723809042"
Ashton Gontshi,127,Primary,-33.808362,25.38886013,"https://www.google.com/maps?q=-33.80836185397413,25.38886012617755","https://www.google.com/maps?q=-33.80836185397413,25.38886012617755"
Astra,278,Primary,-33.867854,25.49525803,"https://www.google.com/maps?q=-33.86785425541227,25.49525802554974","https://www.google.com/maps?q=-33.86785425541227,25.49525802554974"
Baby Daycare,218,ECD,-33.783849,25.58979339,"https://www.google.com/maps?q=-33.78384855371517,25.58979338844639","https://www.google.com/maps?q=-33.78384855371517,25.58979338844639"
